County/City,Station Name,Charger Type,Connector Types
Nairobi,Sarit Centre,AC + DC,"Type2, CHAdeMO"
Nairobi,Two Rivers Mall,AC,Type2
Nairobi,Village Market Gigiri,AC,Type2
Nairobi,UNGA House Westlands,AC,Type2
Nairobi,KCB Towers Upper Hill,AC,Type2
Nairobi,Britam Towers Upper Hill,AC,Type2
Nairobi,Movenpick Westlands,AC,Type2
Nairobi,Stima Plaza,AC/DC,Mixed
Nairobi,Ruaraka KPLC,AC/DC,Mixed
Nakuru,Westside Mall,AC,Type2
Naivasha,Buffalo Mall,AC,Type2
Kiambu,Trinity Energy,AC,Type2
Kisumu,Mega City Mall,AC,Type2
Mombasa,City Mall Nyali,AC,Type2
Narok,Dallas Lounge,AC,"Type2, GBT"
Mavoko,Petrocity,AC + DC,"Type2, CCS2"
